"STATE JOB
NUMBER",TERMINI,"ARDOT
DISTRICT",COUNTY,ROUTE,FFY,TYPE OF WORK,LENGTH,"TOTAL
COST",NHPP,NHFP,HSIP,RAIL-HWY,EARMARK,STBGP,"STBGP
(BR OFF)","STBGP
(GT 200K)",BFP,"BFP
(BR OFF)",NEVFP,"CRP 
(FLEX)","CRP 
(GT 200K)",PROTECT,AC,REC. TRAILS,"CMAQ
(FLEX)","CMAQ
(AQ)",TAP,"TAP
(GT 200K)",CHBP,INFRA,RAISE,COVID,MATA,GAP,FLAP,FLTP,ERFO,"MARINE
FUEL TAX","FERRY
BOAT",DBE,OJT,CAP,"AMENDMENT
 101",STATE,ACT 416,"STATE-
LOCAL",LOCAL,"AGENCY
CARRYING
OUT THE
PROJECT",CARTS,JATS,NARTS,PBATS,TUTS,WMATS,FRONTIER,TRI-LAKES,COMMENTS
020715,Bayou Bartholomew Str. & Apprs. (Hwy. 278) (S),2,Desha,278,2025,Str. & Apprs.,0.000," $3,800 ", $608 ,,,,,,,," $2,432 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $760 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020716,I-530 – Hwy. 425 (Minor Widening) (Pine Bluff) (S),2,Jefferson,65,2025,Shoulder Widening,2.513," $2,400 "," $1,920 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $480 ,,,,State,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
020717,Prattsville – Jefferson Co. Line (Passing Lanes) (S),2,Grant,270,2025,Passing Lanes,4.800," $11,700 "," $9,360 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,340 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Two eastbound and two westbound passing lanes.
020732,Hwy. 293 – Hwy. 65 (S),2,Desha & Drew,I-69,2025,New Location,8.561," $54,400 "," $43,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $10,880 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
020736,Bayou Macon Str. & Apprs. (S),2,Chicot,65,2026,Str. & Apprs.,0.000," $8,200 "," $1,276 ",,,,,,,," $5,284 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $1,640 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020737,Bayou Macon Str. & Apprs. (Eudora) (S),2,Chicot,65,2025,Str. & Apprs.,0.000," $5,000 ", $500 ,,,,,,,," $3,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $1,000 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020738,Menard Bayou Str. & Apprs. (S),2,Arkansas,CR,2025,Str. & Apprs.,0.000," $1,700 ",,,,,,,,,," $1,360 ",,,,,,,,,,,,,,,,,,,, $340 ,,,,,,,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering Project.
020768,Montrose – Hwy. 293 (Widening) (S),2,Ashley & Chicot,82,2025,Major Widening,3.997," $18,500 "," $14,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,700 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020769,Hwy. 293 – Lake Village (Widening) (S),2,Chicot,82,2026,Major Widening,5.527," $24,300 "," $19,440 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $4,860 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020770,Hamburg – East (Widening) (S),2,Ashley,82,2027,Major Widening,2.700," $19,400 "," $15,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,880 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
020771,Mist – Hwy. 160 (Widening) (S),2,Ashley,82,2027,Major Widening,7.300," $43,700 "," $8,740 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $34,960 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
020772,Hwy. 160 – Montrose (Widening) (S),2,Ashley,82,2026,Major Widening,4.800," $33,600 "," $6,720 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $26,880 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
020773,Montrose Bypass Impvts. (Widening) (S),2,Ashley,82,2026,Major Widening,2.366," $19,100 "," $15,280 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,820 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
020775,Hwy. 83 Strs. & Apprs. (S),2,Drew,83,2025,Strs. & Apprs.,0.000," $2,000 ", $320 ,,,,,,,," $1,280 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $400 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020776,Deep Bayou Str. & Apprs. (S),2,Lincoln,199,2026,Str. & Apprs.,0.000," $1,900 "," $1,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $380 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020777,Prices Branch Str. & Apprs. (DeWitt) (S),2,Arkansas,1B,2026,Str. & Apprs.,0.000, $900 , $144 ,,,,,,,, $576 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $180 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020781,Hwy. 65 Cable Median Barrier Impvts. (S),2,"Chicot, Desha, & Drew",65,2026,Safety Improvements,30.450," $17,400 ",,," $15,660 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,740 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020782,Canal No. 19 Str. & Apprs. (S),2,Desha,159,2026,Str. & Apprs.,0.000," $2,700 ",,,,,,,,,," $2,160 ",,,,,,,,,,,,,,,,,,,,,,,,,, $540 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020802,Hwys. 15/31 Y-Inters. Safety Impvts. (S),2,Jefferson,15 & 31,2025,Intersection Improvements,0.000, $200 ,,, $180 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $20 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020804,Hwys. 65 & 425 Cable Median Barrier Impvts. (S),2,Jefferson & Lincoln,"65, 65B, & 425",2025,Safety Improvements,24.670," $14,100 ",,," $12,690 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,410 ",,,,State,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
030026,Cossatot River – De Queen (S),3,Sevier,71,2027,Major Widening and Strs. & Apprs.,5.699," $30,500 "," $6,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $24,400 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030412,Hwy. 70 Strs. & Apprs. (S),3,Sevier,70,2026,Strs. & Apprs.,0.000," $12,100 ", $605 ,,,,,,,," $1,815 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $9,680 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030456,Cossatot River & Baker Creek Strs. & Apprs. (S),3,Howard,278,2027,Strs. & Apprs.,0.000," $15,600 "," $12,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,120 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030477,Hwy. 67 – Arkansas Blvd. (Texarkana) (F),3,Miller,71,2028,Reconstruction,2.130," $9,900 ",,,,,," $1,980 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $7,920 ",,,,State,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Partnering Project. Total project cost to be split evenly with TxDOT. Cost shown is Arkansas portion.
030527,Hwy. 53 Strs. & Apprs. (Lafayette Co.) (S),3,Lafayette,53,2026,Strs. & Apprs.,0.000," $6,100 "," $4,880 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,220 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030531,Red River – Ogden (S),3,Little River,71,2025,Reconstruction,1.460," $11,500 ",,,,,,,,,,,,,," $9,200 ",,,,,,,,,,,,,,,,,,,,,," $2,300 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Raise Road Grade
030575,Texas State Line – I-49 (Texarkana) (S),3,Miller,I-30,2027,Major Widening,4.000," $30,800 "," $24,640 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $6,160 ",,,,State,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project.
030592,Bodcau Creek & Relief Strs. & Apprs. (S),3,Hempstead,32,2027,Strs. & Apprs.,0.000," $8,000 "," $6,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,600 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030601,Nix Creek Str. & Apprs. (Texarkana) (S),3,Miller,71,2026,Str. & Apprs.,0.000," $3,700 ", $592 ,,,,,,,," $2,368 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $740 ,,,,State,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
030602,Black Creek Str. & Apprs. (S),3,Nevada,76,2026,Str. & Apprs.,0.000," $1,500 ", $240 ,,,,,,,, $960 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $300 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030603,Wolf Creek Str. & Apprs. (S),3,Pike,29,2025,Str. & Apprs.,0.000," $4,000 ", $640 ,,,,,,,," $2,560 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $800 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030604,Saline River Str. & Apprs. (S),3,Sevier,27,2026,Str. & Apprs.,0.000," $7,300 ", $365 ,,,,,,,," $1,095 ",,,,,,,,,,,,,,,,,,,,,,,,,,," $5,840 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030607,Winters Creek Str. & Apprs. (S),3,Sevier,71,2026,Str. & Apprs.,0.000," $1,200 ", $192 ,,,,,,,, $768 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $240 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
030630,Arkansas Blvd. – I-30 (Texarkana) (S),3,Miller,71,2028,Operational Improvements,0.445," $2,100 "," $1,680 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $420 ,,,,State,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Partnering Project.  Total project cost to be split evenly  with TxDOT. Cost shown is Arkansas portion.
040621,Mulberry River Strs. & Apprs. (S),4,Franklin,23,2026,Strs. & Apprs.,0.000," $13,500 "," $10,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,700 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040713,Hwy. 71 – Hwy. 255 (Ft. Smith) (S),4,Sebastian,45,2027,Major Widening,3.001," $20,600 ",,,,,," $12,640 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,160 ",,," $4,800 ",State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Partnering project.  City to provide $3,737,500 and the County to provide $1.1M towards total project costs. County to assume ownership of a portion of Highway 45."
040714,I-40/Hwy. 59 Interchange Impvts. (Van Buren) (S),4,Crawford,I-40 & 59,2025,Interchange Improvements,0.000," $11,500 "," $7,360 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,840 ",,," $2,300 ",State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Partnering Project. City to contribute 20% of project costs up to $3.0 million.
040720,Poplar St. – Drake St. (Fayetteville) (S),4,Washington,112,2025,Major Widening,0.993," $7,800 ",,,,,," $6,240 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,560 ",,,,Local,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Partnering project.  City to assume ownership of a segment of Highway 112 upon completion of project.
040723,Hwy. 271 – Hwy. 64 (Towson Ave.) (Fort Smith) (S),4,Sebastian,71B,2027,System Preservation & Drainage Impvts.,3.800," $12,500 "," $8,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,100 ",,," $2,000 ",State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Partnering project. City to contribute 16% of project costs up to $2.0M and assume ownership of a portion of Hwy. 71B.
040746,Truckers Dr. – Howard Nickell Rd. (Fayetteville) (S),4,Washington,112,2025,Major Widening,1.417," $36,700 ",,,,,," $7,114 ",, $280 ,,,,,,,,,,, $500 ,,,,,,,,,,,,,,,,," $28,456 ",,, $350 ,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Partnering Project. City to contribute $350,000 towards project costs and take ownership of a portion of Highway 71B."
040748,Hwy. 22 – I-40 (Arkansas River) P.E.,4,Crawford & Sebastian,I-49,2025,Project Development,13.639, $100 , $80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $20 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
040752,Howard Nickell Rd. – Greathouse Springs Rd. (S),4,Washington,112,2025,Major Widening,1.370," $31,500 ",,,,,,,,,,,,,,," $31,500 ",,,,,,,,,,,,,,,,,,,,,,,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project. Project to be scheduled for construction as funds become available.
040758,Greathouse Springs Rd. – Don Tyson Pkwy. Extension (S),4,Washington,112,2025,Major Widening,1.305," $13,400 ",,,,,,,,,,,,,,," $13,400 ",,,,,,,,,,,,,,,,,,,,,,,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project. Project to be scheduled for construction as funds become available.
040780,Cedar Creek Strs. & Apprs. (Altus) (S),4,Franklin,186,2026,Strs. & Apprs.,0.000," $2,500 ",,,,,,,,,," $2,000 ",,,,,,,,,,,,,,,,,,,,,,,,,, $500 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040785,Stone Bridge Rd. – East Roberts Rd. (Fayetteville) (S),4,Washington,16,2025,Major Widening,1.196," $4,300 ",,,,,," $3,440 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $860 ,,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
040787,"Mena – ""Y"" City (Passing Lanes) (S)",4,Polk & Scott,71,2025,Passing Lanes,2.494," $3,300 "," $2,640 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $660 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,One northbound and one southbound passing lanes.
040788,Hwy. 64 Strs. & Apprs. (Mulberry) (S),4,Crawford,64,2026,Strs. & Apprs.,0.000," $9,600 ",,,,,," $7,680 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,920 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040789,Gap & Turbin Creeks Strs. & Apprs. (S),4,Polk,88,2025,Strs. & Apprs.,0.000," $3,800 "," $3,040 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $760 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040790,Hwy. 270 Strs. & Apprs. (Scott Co.) (S),4,Scott,270,2025,Strs. & Apprs.,0.000," $4,600 "," $3,680 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $920 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040860,Don Tyson Pkwy. Extension – Hwy. 412 (S),4,Washington,112,2026,Major Widening,1.696," $28,200 ",,,,,," $22,560 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $5,640 ",,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
040862,Hwy. 71 – Coker St. (Widening) (Greenwood) (S),4,Sebastian,10,2026,Major Widening,1.831, $100 , $80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $20 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Renew Arkansas Highways Project. Partnering project.  City to provide some right-of-way and assume ownership of portions of Highway 10 upon completion of Job 040861. City will assume ownership of Highway 10 Spur upon completion of Job A40018. City will al
040866,Baron Fork & Fly Creek Strs. & Apprs. (S),4,Washington,45,2026,Strs. & Apprs.,0.717," $9,800 "," $7,840 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,960 ",,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
040867,Sixmile Creek Str. & Apprs. (S),4,Polk,71,2025,Str. & Apprs.,0.000," $6,300 ", $315 ,,,,,,,, $945 ,,,,,,,,,,,,,,,,,,,,,,,,,,," $5,040 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040868,Hicks Creek Str. & Apprs. (S),4,Franklin,64,2025,Str. & Apprs.,0.000," $1,600 ",,,,,, $512 ,,, $768 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $320 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040869,Cherokee & Kings Creeks Strs. & Apprs. (S),4,Scott & Sebastian,96 & 378,2025,Strs. & Apprs.,0.000," $2,800 ", $448 ,,,,,,,," $1,792 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $560 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040871,Rock Creek Str. & Apprs. (West Fork) (S),4,Washington,71,2025,Str. & Apprs.,0.000," $5,900 ",,,,,," $1,180 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $4,720 ",,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
040872,Pointer Trl. – Mt. Vista Blvd. (Van Buren) (Widening) (S),4,Crawford,59,2026,Major Widening,1.199," $3,400 "," $2,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,000 ",State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Partnering Project. City may contribute $1.0M towards the project costs.
040888,Waldron Rd. – 74th St. (Fort Smith) (S),4,Sebastian,22,2026,Interchange & Intersection Improvements,1.427," $19,200 "," $15,360 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,840 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
040889,I-540/Hwy. 255 Intchng. Impvts. (Zero St.) (Fort Smith) (S),4,Sebastian,I-540 & 255,2025,Interchange Improvements,0.000," $2,800 ",," $2,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $280 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
040891,North Fork White Oak Creek Str. & Apprs. (S),4,Franklin,23,2025,Str. & Apprs.,0.000," $4,600 ", $736 ,,,,,,,," $2,944 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $920 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040892,McKinney Creek Str. & Apprs. (S),4,Polk,71,2026,Str. & Apprs.,0.000," $1,800 ", $288 ,,,,,,,," $1,152 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $360 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040893,Irons Fork & Loftis Creek Strs. & Apprs. (S),4,Polk,88,2025,Strs. & Apprs.,0.000," $6,600 ", $330 ,,,,,,,, $990 ,,,,,,,,,,,,,,,,,,,,,,,,,,," $5,280 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
040894,Hwy. 412 Impvts. (Springdale) (S),4,Washington,412,2026,Interchange & Intersection Improvements,2.488," $11,500 "," $3,058 ",,,," $6,142 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,300 ",,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
040899,Hwy. 64 Arkansas River Bridge Painting (S),4,Sebastian,64,2025,System Preservation,0.000," $2,000 "," $1,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $400 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Partnering Project. Total project cost to be split evenly with Oklahoma Department of Transportation; cost shown is Arkansas' portion. Arkansas Department of Transportation will take lead on project.
040902,Gun Club Rd. – Clear Creek Rd. (F),4,Crawford,I-49,2026,New Location,6.310, $500 , $400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $100 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Renew Arkansas Highways Project. Funding amount shown for project development.
040903,Clear Creek Rd. – I-40 (Phase 2) (F),4,Crawford,I-49,2025,New Location,4.404, $500 , $400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $100 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Renew Arkansas Highways Project. Funding amount shown for project development.
